Country Location,Project Date,Country Code,Project Name,Size or Capture Amount/unit base power,Latitude,Longitude
United Kingdom,2012-01-01,GB,Scottish Power - Cockenzie Project,1200.0,55.967693,-2.9709975
Netherlands,,NL,Pernis Refinery Project,117.0,51.881705,4.359552
United States,,USA,Hunton Energy Freeport Plant,400.0,28.9773217,-95.3509855
Australia,2015-12-01,AU,Surat Basin CCS Project,400.0,-25.067967,148.595423
Australia,2009-01-01,AU,CarbonNet CCS Project,0.0,-38.131486,146.363143
Australia,2009-06-01,AU,Collie South West Hub Project,0.0,-33.501991,116.330709
Canada,2011-01-01,CA,Bow City Power Project,1000.0,50.426664,-112.218873
Canada,2008-01-01,CA,Pioneer Project,450.0,53.447382,-114.449536
United States,1978-01-01,USA,Searles Valley Minerals,108.0,35.759809,-117.376175
Brazil,1997-01-01,BR,GPC Quimica Methanol Production Plant,0.0,-22.465016,-43.804919
India,2006-01-01,In,Phulpur Urea Plant CO2 Recovery project,0.0,28.276608,79.168361
China,,CN,Lianyungang IGCC with CO2 Capture,1200.0,34.596891,119.220804
Finland,2015-01-01,Fi,FINNCAP - Meri Pori CCS Project,565.0,61.631878,21.40684
South Korea,2018-01-01,KR,Korea CCS1,300.0,37.45,129.165
France,2004-01-01,FR,ULCOS Florange,0.0,49.323907,6.091537
Italy,2012-12-31,IT,Porto Tolle,250.0,44.955975,12.488261
Netherlands,2015-01-01,NL,CATO1 - Rotterdam ROAD project,250.0,51.958989,4.026485
Poland,2010-01-01,PL,Belchatow CCS Project,858.0,51.266389,19.330556
United States,2013-01-01,USA,CO2 Capture from Coffeyville Fertilizer Plant,0.0,37.046926,-95.608486
Poland,2009-02-01,PL,Kedzierzyn,300.0,50.316361,18.251953
United States,2009-12-01,USA,Shute Creek Plant,0.0,42.261909,-110.194623
United States,1998-01-01,USA,Val Verde NG Plants,0.0,29.804012,-101.167563
United States,2010-01-01,USA,"WESTCARB Validation Phase - Northern California CO2 Reduction Project
 Reduction Project (G1)",0.0,38.1174,-121.8044
South Korea,2009-10-16,KR,South Korea CCS2,300.0,36.4743067551,127.946777344
United Arab Emirates,2007-01-01,AE,Fertil-2 Capture project,400.0,24.136783,52.738073
China,,CN,Luzhou Natural Gas Chemicals,158.919994719326,28.87176,105.442141
United Arab Emirates,2015-01-01,AE,Masdar CCS Project,11781.9996085018,24.22123,54.466994
United Kingdom,2009-01-01,GB,Coastal Energy IGCC Project (Teesside),850.0,54.575354,-1.127528
United Kingdom,2019-01-01,GB,E.ON Ruhrgas Killingholme IGCC,470.0,53.6540107727051,-0.258845001459122
United Kingdom,2011-01-01,GB,RWE nPower - Aberthaw Capture Project in UK,3.0,51.387226,-3.406614
United Kingdom,2013-01-01,GB,RWE nPower - Tilbury Project in UK,1131.0,51.456074,0.38857
United Arab Emirates,2015-01-01,AE,Hydrogen Power Abu Dhabi Project,420.0,24.4752731323242,54.369987487793
Ireland,2008-08-01,Ire,ULYSSES Sequestration,0.0,53.321801,-5.809636
United States,2009-01-01,USA,American Electric Power - Great Bend IGCC,629.0,38.927706,-81.768613
United States,2009-01-01,USA,American Electric Power - Mountaineer,30.0,38.9788246154785,-81.9387969970703
United States,2011-01-01,USA,American Electric Power - Northeastern Station,450.0,36.430797,-95.700805
United States,2011-01-01,USA,American Electric Power - Red Rock Facility,950.0,36.476601,-97.177595
United States,2014-12-31,USA,American Electric Power - Tanners Creek Plant,500.0,39.082102,-84.859778
United States,2012-01-01,USA,Baard Energy - Ohio River Clean Fuels,53000.0,40.602446,-80.650773
United States,2007-01-01,USA,MGSC Validation Phase - Loudon Field,0.0,39.041661,-88.893386
United States,2008-01-01,USA,MGSC Validation Phase - Tanquary Site,0.0,38.40745,-87.95868
United States,2014-01-01,USA,DKRW Energy LLC,20000.0,41.896108,-106.20491
United States,2012-01-01,USA,Duke Energy - Cliffside Plant,825.0,35.219122,-81.761418
United States,2012-01-10,USA,Duke Energy - Edwardsport Plant,618.0,38.8066787719727,-87.2469482421875
United States,2009-01-01,USA,NRG Powerton Station,1538.0,40.540775,-89.679655
United States,2012-01-01,USA,Mesaba Energy Project,602.0,47.30176,-93.371553
United States,2009-01-01,USA,First Energy Bay Shore Plant,153.0,41.689842,-83.437491
United States,2010-01-01,USA,FutureGen 2.0,200.0,39.773533,-90.097383
United States,2009-01-01,USA,Great River Energy,1100.0,47.3769416809082,-101.1572265625
United States,2009-07-01,USA,Western Kentucky CO2 Test,0.0,37.792519,-86.69423
United States,2009-01-01,USA,Intermountain Power Agency,950.0,39.509213,-112.580616
United States,2013-01-01,USA,Jamestown BPU,40.0,42.0991973876953,-79.2382736206055
United States,2007-01-01,USA,Oakdale NG Processing,0.0,37.539456,-105.104697
United States,2013-01-01,USA,Lima Polygen,540.0,40.717629,-84.111123
United States,2010-01-01,USA,MGSC Development Phase - Illinois Basin Decatur Project,0.0,39.876963,-88.89341
United States,2009-04-01,USA,MGSC Validation Phase - Sugar Creek Field,0.0,37.26265,-87.578917
United States,2009-09-01,USA,MGSC Validation Phase - Mumford Hills Field,0.0,38.187413,-87.879005
United States,2009-01-01,USA,MRCSP Validation Phase - Appalachian Basin Test,0.0,39.912682,-80.76458
United States,2009-01-01,USA,MRCSP Validation Phase - Cincinnati Arch Geologic Test,0.0,38.908484,-84.853985
United States,2005-10-01,USA,MRCSP Development Phase - Michigan Basin Project,0.0,45.019154,-84.529174
United States,2008-02-01,USA,MRCSP Validation Phase - Michigan Basin Geologic Test,0.0,45.044878,-84.487203
Canada,2007-01-01,CA,PCOR Development Phase - Ft. Nelson Project,0.0,58.653455,-122.689083
Canada,2005-10-01,CA,PCOR Validation Phase - Zama Field Test,0.0,59.064553,-118.880284
United States,2013-01-01,USA,NRG Energy Inc. (Huntley IGCC Project),680.0,43.017819,-78.88077
United States,2010-01-01,USA,NRG Energy Inc. (Somerset Plant),380.0,41.73715,-71.146057
United States,2010-06-01,USA,Petra Nova (W.A. Parish Post-Combustion CO2 Capture and Sequestration Project),240.0,29.477664,-95.635021
United States,2005-10-01,USA,PCOR Validation Phase - Lignite Test,0.0,48.549909,-102.239482
United States,2007-10-01,USA,PCOR Development Phase - Bell Creek Project,50000000.0,45.097,-105.109
United States,2009-03-01,USA,PCOR Validation Phase - Northwest McGregor EOR Huff n' Puff Project,0.0,48.575622,-102.942431
United States,2012-08-01,USA,Prairie State Energy Campus,1600.0,38.27881,-89.667328
United States,2017-01-01,USA,Kentucky NewGas project,0.0,37.293611,-87.118872
United States,2010-10-08,USA,Century Plant Gas Processing,0.0,30.808782,-102.617342
United States,1986-01-01,USA,Rangely-Webber EOR,14000.0,40.1448020935059,-108.954139709473
United States,2004-01-01,USA,"Salt Creek, Monell, Sussex Unit EOR",0.0,41.514815,-108.615272
United States,2007-09-22,USA,SECARB Development Phase - Citronelle Project,25.0,31.005154,-88.008941
United States,2009-10-01,USA,SECARB Validation Phase - Black Warrior Basin Project,0.0,33.347691,-87.49419
United States,2009-01-15,USA,SECARB Validation Phase - Central Appalachian Basin Coal Test,0.0,37.08158333,-81.9609
United States,2009-04-01,USA,SECARB Development Phase -Cranfield Project,0.0,31.589822,-91.154311
United States,2008-07-15,USA,SECARB Validation Phase - Stacked Storage Test,0.0,31.578581,-91.172386
United States,2006-04-01,USA,SECARB Validation Phase - Plant Daniel Project,0.0,30.53,-88.556111
United States,2006-01-01,USA,Seminole Electric Cooperative,750.0,29.7329,-81.6332
United States,2016-01-01,USA,Sweeny Polygeneration with CO2 Capture,683.0,29.07198,-95.749718
United States,2007-08-01,USA,SWP Validation Phase - Aneth EOR Sequestration Project,0.0,37.30745,-109.3378278
United States,2008-09-01,USA,SWP Validation Phase - SACROC CO2 Injection Project,0.0,32.809575,-100.9307056
United States,2008-07-01,USA,SWP Validation Phase - Pump Canyon CO2-ECBM Sequestration Demonstration,0.0,36.85479722,-107.6983472
United States,2014-01-01,USA,Taylorville Energy Center,630.0,39.589044,-89.188766
United States,2015-01-01,USA,Trailblazer Energy Center,600.0,32.525131,-100.262633
United States,2012-01-01,USA,Cash Creek IGCC,720.0,37.843695,-87.590435
United States,2010-01-01,USA,West Texas and Llano Pipelines Power CCS,0.0,31.927655,-102.212316
United States,2008-01-01,USA,WESTCARB Validation Phase - Arizona Utilities CO2 Storage Pilot,0.0,34.928611,-110.258611
United States,2016-01-01,USA,Bent County IGCC Plant,600.0,37.8567,-103.1112
United States,2006-01-01,USA,Yates Oil Field EOR Operations,0.0,30.920613,-101.935292
China,2009-01-01,CN,Japan-China EOR Project,2739.99990895391,45.9665908813477,126.663772583008
United States,2014-01-01,USA,PureGen project,500.0,40.608355,-74.219695
United States,2014-05-01,USA,Wallula IGCC Plant,700.0,46.102622,-118.918573
United States,2007-01-01,USA,ZENG Worsham-Steed,70.0,32.461351,-97.890919
United States,2015-01-01,USA,Great Lakes Energy Research Park,250.0,43.38488,-84.630136
United States,2019-12-01,USA,Hydrogen Energy California Project,400.0,35.332443,-119.383456
United States,2008-11-17,USA,Kemper County IGCC Project,582.0,32.649461,-88.757013
Germany,2015-01-01,DE,Vattenfall Janschwalde,3000.0,51.8334245,14.4720226
United States,2004-10-04,USA,Frio Brine Pilot,0.0,30.030999,-94.86129
Germany,2010-01-01,DE,"E.ON Pilot Plant in Heyden, Germany",7.0,52.382747,8.996095
Germany,2010-01-01,DE,"E.ON Coal Plant in Wilhelmshaven, Germany",756.0,53.565104,8.145691
Bulgaria,2010-12-31,Bul,Bulgarian TETs Maritsa East 2,1450.0,42.255494,26.131763
Czech Republic,2013-01-01,Czech,Ledvice CEZ Capture and Storage Project,660.0,50.575824,13.77955
Czech Republic,2015-01-01,Czech,North Bohemia Clean Coal Project,660.0,50.086012,14.43126
Denmark,2013-12-31,DK,Aalborg - Northern Jutland Power Station Project,411.0,57.073957,10.040272
Germany,,DE,DONG Energy - High-Efficiency PC Plant in Greifswalde,1600.0,54.081028,13.488122
Italy,2013-01-01,IT,Saline Joniche SEI,1320.0,37.93491,15.725314
Italy,2010-01-01,IT,Enel Brindisi CCS Project,660.0,40.566917,18.031435
United States,2009-11-16,USA,Air Products and Chemicals Inc. CCS Project,0.0,29.865913,-93.967359
United States,2009-11-16,USA,Leucadia Energy Capture Project - Louisiana,0.0,30.189176,-93.306548
United States,2010-01-01,USA,Summit Energy - Texas Clean Energy Project (TCEP),400.0,31.74604,-102.608324
Australia,2009-07-09,AU,H3 Capture Project-CO2CRC,1675.0,-38.272924,146.391758
Australia,2009-01-01,AU,Mulgrave Capture Project - CO2CRC,1.09599996358156,-37.913772,145.15598
Netherlands,2016-01-01,NL,RWE CCS Eemshaven,1600.0,53.442813,6.850781
Netherlands,2011-02-01,NL,Nuon Power Buggenum,253.0,51.22278,5.9733
United States,1991-09-01,USA,Bellingham Cogeneration Facility,320.0,42.09222,-71.48306
United States,2000-02-01,USA,AES Warrior Run,180.0,39.596175,-78.745581
United States,1991-01-01,USA,AES Shady Point,320.0,35.191944,-94.6425
Japan,1997-01-01,JP,TEPCO Yokosuka,1.0,35.215,139.72028
Sweden,2007-01-01,Swd,Sargas Vartan,3287.99989074469,59.34833,18.07028
United States,2008-07-01,USA,We Energies Pleasant Prairie Field Pilot,1.7,42.53944,-87.90444
Japan,2009-08-01,JP,Sigma Power Ariake Mikawa,47.5000022561289,33.020082,130.421904
Germany,2009-09-01,DE,E.ON Staudinger - Grosskrotzenburg Germany,510.0,50.08917,8.95
United States,1982-01-01,USA,Carbon Dioxide Technology Corp - Lubbock Plant,50.0,33.45438,-101.862836
United States,1991-01-01,USA,Mitchell Energy Bridgeport Plant,0.0,33.205873,-97.729303
Australia,2010-01-01,AU,Aviva Corp Coolimba Oxyfuel Project,400.0,-29.81,115.24
Malaysia,2011-01-01,MY,Bintulu CCS Project,0.0,3.25,113.12
Canada,2008-01-01,CA,HARP-Heartland Area Redwater Project,0.0,53.945484,-113.067108
United States,2015-01-01,USA,FutureGen - Jewett,275.0,31.36325836,-96.14356995
United States,2015-01-01,USA,FutureGen - Mattoon,275.0,39.496862,-88.440473
United States,2015-01-01,USA,FutureGen - Odessa,275.0,31.85984802,-102.3777237
United States,2015-01-01,USA,FutureGen - Tuscola,275.0,39.801556,-88.325743
United States,2009-12-08,USA,Newark Basin Characterization of New York and New Jersey,0.0,41.002159,-73.908508
United States,2009-12-07,USA,An Evaluation of the Carbon Sequestration Potential of the Cambro Ordovician Strata of the Illinois and Michigan Basins,0.0,40.10099,-88.229099
United States,2009-12-08,USA,Characterization of the Most Promising Sequestration Formations in the Rocky Mountain Region,0.0,40.435449,-107.593316
United States,2009-12-08,USA,"Characterization of the Miocene and Pliocene Formations in the Wilmington Graben, Offshore Los Angeles, for Large Scale Geologic Storage of CO2",0.0,33.592869,-118.174017
United States,2009-12-08,USA,Geologic Characterization of the South Georgia Rift Basin for Source Proximal CO2 Storage,0.0,33.113913,-80.533211
United States,2009-12-08,USA,Gulf of Mexico Miocene Mega Transect Site Characterization,0.0,28.394151,-96.186152
United States,2009-12-08,USA,Site Characterization of the Highest-Priority Geologic Formations for CO2 Storage in Wyoming,0.0,41.712614,-108.79482
United States,2009-12-08,USA,Site Characterization for CO2 Storage from Coal-fired Power Facilities in the Black Warrior Basin of Alabama,0.0,33.647396,-87.195723
United States,2009-12-08,USA,"Modeling CO2 Sequestration in a Saline Reservoir and Depleted Oil Reservoir to Evaluate The Regional CO2 Sequestration Potential of The Ozark Plateau Aquifer System, South-Central Kansas",0.0,37.165836,-101.251679
Spain,,Sp,Puertollano Plant,335.0,38.655582,-3.986858
Canada,2003-08-01,CA,Joffre Viking EOR Project,0.0,52.309312,-113.549264
United States,2003-01-01,USA,"Purdy, Sho-Vel-Tum EOR Project",0.0,34.715904,-97.587533
United States,2010-10-01,USA,Slipstream Testing of a Membrane CO2 Capture Process for Existing Coal-Fired Power Plants,1.0,33.243601,-86.469014
United States,2010-10-01,USA,Slipstream Development and Testing of Siemens POSTCAP Capture and Separation Technology,2.5,27.794879,-82.40066
United States,2010-10-01,USA,Evaluation of Solid Sorbents as a Retrofit Technology for CO2 Capture,1.0,33.632011,-87.060964
Spain,2009-01-01,Sp,OXYCFB300 Compostilla Project,323.0,42.613066,-6.563108
Brazil,2011-03-01,BR,Petrobras Lula Oil Field Offshore CCS Project,0.0,-25.595699,-42.331474
United States,2007-10-01,USA,SWP Development Phase - Farnsworth Unit Ochiltree Project,0.0,36.260007,-101.009301
United States,2011-07-25,USA,Big Sky Development Phase - Kevin Dome Project,0.0,48.859252,-111.721966
United States,2001-09-21,USA,CONSOL Energy - Sequestration of CO2 in Unmineable Coal Seams,0.0,39.748189,-80.541217
United States,2000-10-01,USA,Allison Unit CO2-ECBM Pilot,0.0,39.979384,-107.510387
United States,2010-10-01,USA,ARI Eastern Shale CO2 Injection Test,229.0,37.290102,-82.615054
Iceland,2007-01-01,Ice,CarbFix,303.0,64.036435,-21.396845
Mexico,2009-01-01,MX,Poza Rica EOR Project,250.0,20.526377,-97.491807
United States,2009-07-20,USA,Tampa Electric - Scale-Up of High-Temperature Syngas Cleanup Technology,50.0,27.725119,-81.993792
Mexico,2004-01-01,MX,PEMEX CCS Project,0.0,17.638724,-92.941641
United States,2011-11-23,USA,LINC Energy - Wyoming EOR,0.0,42.847634,-105.973604
England,2011-11-30,E,Scottish and Southern Energy - West Yorkshire,5.0,53.717405,-1.279432
United States,2012-07-25,USA,Touchstone Bioconversion Pilot Plant,0.0,40.824822,-81.865536
United Kingdom,2009-02-01,GB,Don Valley CCS Power Project,650.0,53.591456,-1.020039
Norway,2016-06-17,NO,Sargas Natural Gas CCS,250.0,62.980253,6.964092
Australia,2013-01-01,AU,Tarong Plant Algae Oil Project,450.0,-26.783863,151.915747
Australia,2010-09-01,AU,Browse LNG,0.0,-14.4346802153,120.673828125
Australia,2009-09-01,AU,Galilee Power Project,900.0,-23.473166,146.551237
Bahrain,2007-10-25,B,Gulf Petrochemical Industries Company (GPIC) Capture Project,0.0,26.143917,50.639774
Brazil,2009-01-01,BR,Petrobras Miranga CO2 injection,0.0,-12.36519,-38.273056
Romania,2009-01-01,Rom,Petrom Zero Emissions Plant (ZEP),15.0,45.929741,22.848412
Canada,,CA,Alberta Saline Aquifer Project & Genesee Demonstration Project,150.0,53.343584,-114.303553
Scotland,,S,Scottish Power - Longannet Biomass Power,2400.0,56.04833,-3.68249
Scotland,,S,Scottish Power - Longannet CCS,2400.0,56.04833,-3.68249
Scotland,,S,Hunterston Station CCS,1852.0,55.720961,-4.895658
United States,2011-10-01,USA,Blackhorse Energy LLC - Small-scale Injection Project,0.0,30.4658,-90.767859
United States,2011-10-01,USA,University of Kansas - Small-scale Injection Project,0.0,37.319659,-97.433597
United States,2011-10-01,USA,Virginia Tech - Small-scale Injection Project,0.0,37.036435,-82.144217
European Union,2009-04-01,EU,CO2EuroPipe,0.0,50.382708,10.92342
Taiwan,2014-01-01,TW,Taichung CCS,0.0,24.214745,120.479255
Canada,2009-01-01,CA,Aquistore Project,0.0,49.095559,-103.07764
Australia,2012-01-01,AU,Vales Point Power Station CCS Demonstration,1320.0,-33.161057,151.542996
Canada,2012-09-05,CA,Quest Carbon Capture and Storage Project,225000.0,53.799307,-113.093229
Czech Republic,2015-01-15,Czech,Hodonin CO2 Separation Project,105.0,48.848936,17.132222
China,2017-01-01,CN,Yulin Coal to Chemicals CCS,0.0,38.237528,109.717015
Scotland,2017-01-01,S,Captain Clean Energy Project,570.0,56.014195,-3.692054
China,2020-01-01,CN,Datang Daqing CCS Project,350.0,46.576277,125.228479
United Kingdom,2014-09-01,GB,White Rose CCS Project,450.0,53.744732,-0.998704
Saudi Arabia,2015-01-01,SA,Uthmaniyah CO2 EOR Demo Project,0.0,24.807775,49.356405
China,2016-01-01,CN,Dongguan Taiyangzhou IGCC,750.0,23.002269,113.750935
China,2016-01-01,CN,Jilin Oil Field EOR,0.0,45.119225,124.798169
China,2020-01-01,CN,Shanxi International Energy Oxyfuel Project,350.0,37.778832,112.474995
United States,2014-01-01,USA,EW Brown Generating Station,0.7,37.788156,-84.713791
United States,2009-11-06,USA,Illinois Industrial Carbon Capture and Storage Project,0.0,39.88403,-88.887398
Norway,,NO,Klemetsrud Waste to Energy Plant,0.0,59.840298,10.836658
China,2019-01-01,CN,China Resources Power (Haifeng) Integrated Carbon Capture and Sequestration Demonstration Project,2739.99990895391,22.7724,115.352
United States,2020-01-01,USA,Riley Ridge Gas Plant,6849.99977238476,42.4756,-110.489
